# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Feb  4 07:25:21 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_insol:       Insolation Flux [Earth flux]
# COLUMN pl_bmasse:      Planet Mass or M*sin(i) [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
# COLUMN pl_publ_date:   Publication Date
# COLUMN st_sp:          Spectral Type
# COLUMN st_spstr:       Spectral Type
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,st_dist,st_optmag,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_eqt,pl_insol,pl_bmasse,pl_rade,pl_disc,pl_pelink,pl_edelink,pl_publ_date,st_sp,st_spstr,st_lum
11,2MASS J02192210-3925225,Imaging,1,,156.000000,,,39.40,,3064.00,0.11,0.28,2015-05-14,2MASS J02192210-3925225 b,,,4417.83700,16.141,2015,http://exoplanet.eu/catalog/2m_0219-39_b/,,2015-06,6.60,M6,-2.230
12,2MASS J04414489+2301513,Imaging,1,,15.000000,,,140.00,,,0.02,,2014-05-14,2MASS J04414489+2301513 b,,,2383.60000,,2010,http://exoplanet.eu/catalog/2m_0441%2B23_b/,,2010-05,6.85,M8.5,
13,2MASS J12073346-3932539,Imaging,1,,46.000000,,,52.40,20.150,,0.02,,2014-05-14,2MASS J12073346-3932539 b,1150,,1271.00000,,2004,http://exoplanet.eu/catalog/2m_1207-39_b/,,2004-10,6.80,M8,
14,2MASS J19383260+4603591,Eclipse Timing Variations,1,416.00000000,0.920000,,,,12.264,,0.48,,2015-06-04,2MASS J19383260+4603591 b,,,603.87700,,2015,http://exoplanet.eu/catalog/2m_1938%2B46_b/,,2015-05,,,
15,2MASS J21402931+1625183 A,Imaging,1,7336.50000000,,0.260000,,25.00,,2300.00,0.08,0.12,2014-05-14,2MASS J21402931+1625183 A b,2075,,6657.48000,10.310,2009,http://exoplanet.eu/catalog/2m_2140+16_b/,,2010-03,6.85,M8.5,-3.480
16,2MASS J22362452+4751425,Imaging,1,,230.000000,,,74.00,12.510,4045.00,0.60,,2016-11-10,2MASS J22362452+4751425 b,,,3972.87500,,2016,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,,,5.70,K7 V,
17,30 Ari B,Radial Velocity,1,335.10000000,0.995000,0.289000,,39.43,,6300.00,1.16,1.13,2014-05-14,30 Ari B b,,,3140.03000,,2009,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b,2009-12,3.60,F6 V,
18,4 UMa,Radial Velocity,1,269.30000000,0.870000,0.432000,,77.40,4.610,4415.00,1.23,18.11,2014-05-14,4 UMa b,,,2256.50000,,2006,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b,2007-09,5.10,K1 III,
19,42 Dra,Radial Velocity,1,479.10000000,1.190000,0.380000,,97.28,4.820,4200.00,0.98,22.03,2014-05-14,42 Dra b,,,1233.13000,,2008,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b,2009-06,5.15,K1.5 III,
20,47 UMa,Radial Velocity,3,1078.00000000,2.100000,0.032000,,14.08,5.050,5892.00,1.03,1.23,2014-05-14,47 UMa b,,,804.08000,,1996,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b,1996-06,4.00,G0 V,
21,47 UMa,Radial Velocity,3,2391.00000000,3.600000,0.098000,,14.08,5.050,5892.00,1.03,1.23,2014-05-14,47 UMa c,,,171.62100,,2001,http://exoplanet.eu/catalog/47_uma_c/,http://exoplanets.org/detail/47_UMa_c,2002-01,4.00,G0 V,
22,47 UMa,Radial Velocity,3,14002.00000000,11.600000,0.160000,,14.08,5.050,5892.00,1.03,1.23,2014-05-14,47 UMa d,,,521.22000,,2009,http://exoplanet.eu/catalog/47_uma_d/,,2010-04,4.00,G0 V,
23,51 Eri,Imaging,1,,13.200000,,,29.40,5.230,,1.75,,2015-08-14,51 Eri b,700,,635.66000,,2015,http://exoplanet.eu/catalog/51_eri_b/,,2015-08,3.00,F0 IV,0.850
24,51 Peg,Radial Velocity,1,4.23078500,0.052700,0.013000,,15.36,5.500,5793.00,1.12,1.20,2014-05-14,51 Peg b,,,150.00900,,1995,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b,1995-11,4.25,G2.5 IV,
25,55 Cnc,Radial Velocity,5,14.65152000,0.115227,0.003400,,12.53,5.960,5196.00,0.91,0.94,2014-10-29,55 Cnc b,,,263.97850,,1996,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b,1997-01,4.80,G8 V,-0.235
26,55 Cnc,Radial Velocity,5,44.41750000,0.241376,0.020000,,12.53,5.960,5196.00,0.91,0.94,2014-10-29,55 Cnc c,,,54.47380,,2004,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c,2004-10,4.80,G8 V,-0.235
27,55 Cnc,Radial Velocity,5,4825.00000000,5.503000,0.019000,,12.53,5.960,5196.00,0.91,0.94,2014-10-29,55 Cnc d,,,1232.49300,,2002,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d,2002-12,4.80,G8 V,-0.235
28,55 Cnc,Radial Velocity,5,0.73653900,0.015440,,6.40000,12.53,5.960,5196.00,0.91,0.94,2016-07-07,55 Cnc e,,,8.08000,1.910,2004,http://exoplanet.eu/catalog/55_cnc_e/,http://exoplanets.org/detail/55_Cnc_e,2004-10,4.80,G8 V,-0.235
29,55 Cnc,Radial Velocity,5,262.00000000,0.788000,0.305000,,12.53,5.960,5196.00,0.91,0.94,2014-10-29,55 Cnc f,,,44.81200,,2007,http://exoplanet.eu/catalog/55_cnc_f/,http://exoplanets.org/detail/55_Cnc_f,2008-03,4.80,G8 V,-0.235
30,6 Lyn,Radial Velocity,1,874.77400000,2.180000,0.125000,,56.95,,4978.00,1.70,5.20,2015-09-03,6 Lyn b,,,702.40430,,2008,http://exoplanet.eu/catalog/6_lyn_b/,http://exoplanets.org/detail/6_Lyn_b,2008-12,5.00,K0 III-IV,1.176
31,61 Vir,Radial Velocity,3,4.21500000,0.050201,0.120000,,8.52,4.740,5577.00,0.94,0.96,2014-05-14,61 Vir b,,,5.10000,,2009,http://exoplanet.eu/catalog/61_vir_b/,http://exoplanets.org/detail/61_Vir_b,2010-01,4.50,G5 V,-0.095
32,61 Vir,Radial Velocity,3,38.02100000,0.217500,0.140000,,8.52,4.740,5577.00,0.94,0.96,2014-05-14,61 Vir c,,,18.20000,,2009,http://exoplanet.eu/catalog/61_vir_c/,http://exoplanets.org/detail/61_Vir_c,2010-01,4.50,G5 V,-0.095
33,61 Vir,Radial Velocity,3,123.01000000,0.476000,0.350000,,8.52,4.740,5577.00,0.94,0.96,2014-05-14,61 Vir d,,,22.90000,,2009,http://exoplanet.eu/catalog/61_vir_d/,http://exoplanets.org/detail/61_Vir_d,2010-01,4.50,G5 V,-0.095
34,7 CMa,Radial Velocity,1,796.00000000,1.930000,0.220000,,19.84,3.920,4792.00,1.52,2.30,2015-10-22,7 CMa b,,,781.86180,,2011,http://exoplanet.eu/catalog/7_cma_b/,http://exoplanets.org/detail/7_CMa_b,2011-12,5.10,K1 III,1.053
35,70 Vir,Radial Velocity,1,116.69260000,0.481000,0.399000,,18.11,4.980,5439.00,1.09,1.94,2015-04-24,70 Vir b,,,2351.94200,,1996,http://exoplanet.eu/catalog/70_vir_b/,http://exoplanets.org/detail/70_Vir_b,1996-06,4.40,G4 V,0.451
36,75 Cet,Radial Velocity,1,691.90000000,2.100000,0.117000,,81.50,5.350,4846.00,2.49,10.50,2015-09-03,75 Cet b,,,953.49000,,2012,http://exoplanet.eu/catalog/75_cet_b/,http://exoplanets.org/detail/75_Cet_b,2012-12,4.30,G3 III,1.730
37,8 UMi,Radial Velocity,1,93.40000000,0.490000,0.060000,,159.10,6.830,4847.40,1.80,9.90,2015-10-15,8 UMi b,,,476.74500,,2015,http://exoplanet.eu/catalog/8_umi_b/,,,5.00,K0,
38,81 Cet,Radial Velocity,1,952.70000000,2.500000,0.206000,,97.18,5.650,4785.00,2.40,11.00,2014-05-14,81 Cet b,,,1684.40000,,2008,http://exoplanet.eu/catalog/81_cet_b/,http://exoplanets.org/detail/81_Cet_b,2008-12,4.50,G5 III,1.778
39,91 Aqr,Radial Velocity,1,181.40000000,0.700000,0.027000,,45.52,4.250,4665.00,1.40,11.00,2014-05-14,91 Aqr b,,,1017.00000,,2013,http://exoplanet.eu/catalog/91_aqr_b/,http://exoplanets.org/detail/91_Aqr_b,2013-07,5.00,K0 III,
40,AB Pic,Imaging,1,,260.000000,,,45.52,9.128,,,,2014-05-14,AB Pic b,,,4290.50000,,2005,http://exoplanet.eu/catalog/ab_pic_b/,,2005-08,5.20,K2 V,
41,BD+14 4559,Radial Velocity,1,268.94000000,0.777000,0.290000,,50.03,9.630,5008.00,0.86,0.95,2014-05-14,BD+14 4559 b,,,467.19000,,2009,http://exoplanet.eu/catalog/bd14_4559_b/,http://exoplanets.org/detail/BD_+14_4559_b,2009-12,5.20,K2 V,-0.320
42,BD+15 2375,Radial Velocity,1,153.22000000,0.576000,0.001000,,774.00,10.310,4649.00,1.08,8.95,2016-02-04,BD+15 2375 b,,,337.21763,,2016,http://exoplanet.eu/catalog/bd%2B15_2375_b/,,,,,1.570
43,BD+15 2940,Radial Velocity,1,137.48000000,0.539000,0.260000,,175.44,9.046,4796.00,1.10,14.70,2014-05-14,BD+15 2940 b,,,352.78000,,2013,http://exoplanet.eu/catalog/bd+15_2940_b/,,2013-06,5.00,K0,2.010
44,BD+20 1790,Radial Velocity,1,7.78287000,0.066000,0.220000,,25.40,,4410.00,0.63,0.71,2015-03-26,BD+20 1790 b,,,2020.00000,,2010,,,2010-03,5.50,K5 V,-0.770
45,BD+20 2457,Radial Velocity,2,379.63000000,1.450000,0.150000,,,9.750,4137.00,2.80,49.00,2014-05-14,BD+20 2457 b,,,6807.63000,,2009,http://exoplanet.eu/catalog/bd20_2457_b/,http://exoplanets.org/detail/BD_+20_2457_b,2009-12,5.20,K2 II,3.170
46,BD+20 2457,Radial Velocity,2,621.99000000,2.010000,0.180000,,,9.750,4137.00,2.80,49.00,2014-05-14,BD+20 2457 c,,,3963.17000,,2009,http://exoplanet.eu/catalog/bd20_2457_c/,http://exoplanets.org/detail/BD_+20_2457_c,2009-12,5.20,K2 II,3.170
47,BD+20 274,Radial Velocity,1,578.20000000,1.300000,0.210000,,,9.360,4296.00,0.80,17.30,2015-09-18,BD+20 274 b,,,1334.88600,,2012,http://exoplanet.eu/catalog/bd+20_274_c/,,2012-09,5.50,K5 III,1.960
48,BD+20 594,Transit,1,41.68550000,0.241000,0.000000,7.89000,152.10,11.038,5766.00,0.96,0.93,2016-07-28,BD+20 594 b,546,,16.30000,2.230,2016,http://exoplanet.eu/catalog/bd%2B20_594_b/,,,4.00,G,-0.056
49,BD+48 738,Radial Velocity,1,392.60000000,1.000000,0.200000,,,9.140,4414.00,0.74,11.00,2015-08-13,BD+48 738 b,,,289.22530,,2011,http://exoplanet.eu/catalog/bd_+48_738_b/,http://exoplanets.org/detail/BD_+48_738_b,2012-01,5.00,K0 III,1.690
50,BD+49 828,Radial Velocity,1,2590.00000000,4.200000,0.350000,,,9.380,4943.00,1.52,7.60,2015-02-05,BD+49 828 b,,,508.50000,,2015,http://exoplanet.eu/catalog/bd+49_828/,,2015-04,5.00,K0,1.470
51,BD-06 1339,Radial Velocity,2,3.87280000,0.042800,0.000000,,20.10,9.700,4324.00,0.70,,2014-05-14,BD-06 1339 b,,,8.50000,,2013,http://exoplanet.eu/catalog/bd-061339_b/,,2013-03,5.85,K7/M0 V,-1.022
52,BD-06 1339,Radial Velocity,2,125.94000000,0.435000,0.310000,,20.10,9.700,4324.00,0.70,,2014-05-14,BD-06 1339 c,,,53.00000,,2013,http://exoplanet.eu/catalog/bd-061339_c/,,2013-03,5.85,K7/M0 V,-1.022
53,BD-08 2823,Radial Velocity,2,5.60000000,0.056000,0.150000,,42.09,9.880,4746.00,0.74,,2014-05-14,BD-08 2823 b,,,14.40000,,2009,http://exoplanet.eu/catalog/bd-082823_b/,http://exoplanets.org/detail/BD_-08_2823_b,2010-03,5.30,K3 V,
54,BD-08 2823,Radial Velocity,2,237.60000000,0.680000,0.190000,,42.09,9.880,4746.00,0.74,,2014-05-14,BD-08 2823 c,,,104.00000,,2009,http://exoplanet.eu/catalog/bd-082823_c/,http://exoplanets.org/detail/BD_-08_2823_c,2010-03,5.30,K3 V,
55,BD-10 3166,Radial Velocity,1,3.48777000,0.045200,0.019000,,80.00,10.080,5393.00,1.01,,2014-08-27,BD-10 3166 b,,,145.56000,,2000,http://exoplanet.eu/catalog/bd-10_3166_b/,http://exoplanets.org/detail/BD_-10_3166_b,2000-12,5.00,K0 V,
56,BD-11 4672,Radial Velocity,1,1667.00000000,2.280000,0.050000,,27.30,9.990,4475.00,0.57,0.52,2015-01-08,BD-11 4672 b,,,168.44000,,2014,http://exoplanet.eu/catalog/bd-11_4672_b/,,2015-04,5.70,K7 V,
57,BD-13 2130,Radial Velocity,1,714.30000000,2.100000,0.210000,,766.00,9.450,,2.40,,2015-05-14,BD-13 2130 b,,,3368.99800,,2007,http://exoplanet.eu/catalog/ngc_2423_3_b/,http://exoplanets.org/detail/NGC_2423_3_b,2007-09,4.50,G5 IV/V,
58,BD-17 63,Radial Velocity,1,655.60000000,1.340000,0.540000,,37.54,9.566,4714.00,0.74,0.69,2014-05-14,BD-17 63 b,,,1620.90000,,2008,http://exoplanet.eu/catalog/bd-17_63_b/,http://exoplanets.org/detail/HIP_2247_b,2009-03,5.50,K5 V,-0.678
59,CFBDSIR J145829+101343,Imaging,1,10037.50000000,2.600000,,,23.10,,580.50,0.02,,2014-05-14,CFBDSIR J145829+101343 b,370,,3337.10000,,2011,http://exoplanet.eu/catalog/cfbds_1458_b/,,2011-10,,,
60,CHXR 73,Imaging,1,,210.000000,,,,,,0.35,,2014-05-14,CHXR 73 b,,,3994.48600,,2006,http://exoplanet.eu/catalog/chxr_73_b/,,2006-10,6.35,M3.5,
61,CT Cha,Imaging,1,,440.000000,,,165.00,,,,,2014-05-14,CT Cha b,2600,,5403.00000,24.660,2007,http://exoplanet.eu/catalog/ct_cha_b/,,2008-11,,,
62,CoRoT-1,Transit,1,1.50895570,,0.000000,0.38000,,13.600,5950.00,0.95,1.11,2014-05-14,CoRoT-1 b,1898,,327.35000,16.700,2008,http://exoplanet.eu/catalog/corot-1_b/,http://exoplanets.org/detail/CoRoT-1_b,2008-05,4.00,G0 V,
63,CoRoT-10,Transit,1,13.24060000,0.105500,0.530000,3.70000,345.00,15.220,5075.00,0.89,0.79,2014-05-14,CoRoT-10 b,600,,874.00000,10.870,2010,http://exoplanet.eu/catalog/corot-10_b/,http://exoplanets.org/detail/CoRoT-10_b,2010-09,5.10,K1 V,
64,CoRoT-11,Transit,1,2.99433000,0.043600,0.000000,0.99000,560.00,,6440.00,1.27,1.37,2014-05-14,CoRoT-11 b,1657,,740.51000,16.030,2010,http://exoplanet.eu/catalog/corot-11_b/,http://exoplanets.org/detail/CoRoT-11_b,2010-12,3.60,F6 V,
65,CoRoT-12,Transit,1,2.82804200,0.040160,0.070000,0.41100,1150.00,15.515,5675.00,1.08,1.12,2014-05-14,CoRoT-12 b,1442,,291.43800,16.140,2010,http://exoplanet.eu/catalog/corot-12_b/,http://exoplanets.org/detail/CoRoT-12_b,2010-09,,,
66,CoRoT-13,Transit,1,4.03519000,0.051000,0.000000,2.34000,1060.00,15.039,5945.00,1.09,1.01,2014-05-14,CoRoT-13 b,1700,,415.70400,9.920,2010,http://exoplanet.eu/catalog/corot-13_b/,http://exoplanets.org/detail/CoRoT-13_b,2010-11,4.00,G0 V,
67,CoRoT-14,Transit,1,1.51214000,0.027000,0.000000,7.30000,1340.00,16.033,6035.00,1.13,1.21,2014-05-14,CoRoT-14 b,1952,,2415.40000,12.220,2010,http://exoplanet.eu/catalog/corot-14_b/,http://exoplanets.org/detail/CoRoT-14_b,2011-04,3.90,F9 V,
68,CoRoT-16,Transit,1,5.35227000,0.061800,0.330000,0.44000,840.00,15.630,5650.00,1.10,1.19,2014-05-14,CoRoT-16 b,,,170.03200,13.110,2011,http://exoplanet.eu/catalog/corot-16_b/,http://exoplanets.org/detail/CoRoT-16_b,2012-05,4.50,G5 V,
69,CoRoT-17,Transit,1,3.76810000,0.046100,0.000000,2.82000,920.00,15.460,5740.00,1.04,1.59,2014-05-14,CoRoT-17 b,1626,,772.29000,11.430,2011,http://exoplanet.eu/catalog/corot-17_b/,http://exoplanets.org/detail/CoRoT-17_b,2011-07,4.20,G2 V,
70,CoRoT-18,Transit,1,1.90006930,0.029500,0.080000,2.20000,870.00,15.000,5440.00,0.95,1.00,2014-05-14,CoRoT-18 b,1550,,1102.82000,14.680,2011,http://exoplanet.eu/catalog/corot-18_b/,http://exoplanets.org/detail/CoRoT-18_b,2011-09,4.90,G9 V,
71,CoRoT-19,Transit,1,3.89713000,0.051800,0.047000,0.71000,770.00,14.007,6090.00,1.21,1.65,2014-05-14,CoRoT-19 b,2000,,352.78000,14.460,2011,http://exoplanet.eu/catalog/corot-19_b/,http://exoplanets.org/detail/CoRoT-19_b,2012-01,3.90,F9 V,0.544
72,CoRoT-2,Transit,1,1.74299350,0.027980,0.014300,1.47000,200.00,12.570,5625.00,0.96,0.91,2014-05-14,CoRoT-2 b,,,1102.82000,16.432,2008,http://exoplanet.eu/catalog/corot-2_b/,http://exoplanets.org/detail/CoRoT-2_b,2008-05,,,
73,CoRoT-20,Transit,1,9.24285000,0.090200,0.562000,8.87000,1230.00,14.660,5880.00,1.14,1.02,2014-05-14,CoRoT-20 b,1002,,1347.54000,9.420,2011,http://exoplanet.eu/catalog/corot-20_b/,,2012-02,4.20,G2 V,
74,CoRoT-22,Transit,1,9.75598000,0.092000,0.077000,0.24900,592.00,13.944,5939.00,1.10,1.14,2014-08-21,CoRoT-22 b,885,,12.20000,4.880,2014,http://exoplanet.eu/catalog/corot-22_b/,,2014-11,4.30,G3 V,
75,CoRoT-23,Transit,1,3.63130000,0.048000,0.160000,3.00000,600.00,15.630,5900.00,1.14,1.61,2014-05-14,CoRoT-23 b,1660,,889.90000,11.770,2011,http://exoplanet.eu/catalog/corot-23_b/,http://exoplanets.org/detail/CoRoT-23_b,2012-01,4.00,G0 V,
76,CoRoT-24,Transit,2,5.11340000,0.056000,0.000000,0.90000,600.00,,4950.00,0.91,0.86,2014-06-11,CoRoT-24 b,1070,,5.70000,3.700,2014,http://exoplanet.eu/catalog/corot-24_b/,,2014-07,5.10,K1 V,
77,CoRoT-24,Transit,2,11.75900000,0.098000,0.000000,1.30000,600.00,,4950.00,0.91,0.86,2014-06-11,CoRoT-24 c,850,,28.00000,5.000,2014,http://exoplanet.eu/catalog/corot-24_c/,,2014-07,5.10,K1 V,
78,CoRoT-25,Transit,1,4.86069000,0.057800,0.000000,0.15000,1000.00,,6040.00,1.09,1.19,2014-05-14,CoRoT-25 b,1330,,85.81000,12.110,2013,http://exoplanet.eu/catalog/corot-25_b/,http://exoplanets.org/detail/CoRoT-25_b,2013-07,3.90,F9,
79,CoRoT-26,Transit,1,4.20474000,0.052600,0.000000,0.28000,1670.00,,5590.00,1.09,1.79,2014-05-14,CoRoT-26 b,1600,,165.26000,14.120,2013,http://exoplanet.eu/catalog/corot-26_b/,http://exoplanets.org/detail/CoRoT-26_b,2013-07,4.50,G5,
80,CoRoT-27,Transit,1,3.57532000,0.047600,0.065000,12.60000,,15.540,5900.00,1.05,1.08,2014-05-14,CoRoT-27 b,1500,,3302.11000,11.287,2014,http://exoplanet.eu/catalog/corot-27_b/,http://exoplanets.org/detail/CoRoT-27_b,2014-02,4.20,G2,
81,CoRoT-28,Transit,1,5.20851000,0.060300,0.047000,0.69000,560.00,,5150.00,1.01,1.78,2015-04-16,CoRoT-28 b,,,153.82972,10.705,2015,http://exoplanet.eu/catalog/corot-28_b/,,2015-07,4.85,G8/9 IV,
82,CoRoT-29,Transit,1,2.85057000,0.038600,0.082000,1.45000,765.00,,5260.00,0.97,0.90,2015-04-16,CoRoT-29 b,,,270.15550,10.088,2015,http://exoplanet.eu/catalog/corot-29_b/,,2015-07,5.00,K0 V,
83,CoRoT-3,Transit,1,4.25680000,,0.000000,26.40000,680.00,,6740.00,1.37,1.56,2014-05-14,CoRoT-3 b,,,6883.91000,11.320,2008,http://exoplanet.eu/catalog/corot-3_b/,http://exoplanets.org/detail/CoRoT-3_b,2008-12,3.30,F3 V,
84,CoRoT-4,Transit,1,9.20205000,0.090000,0.000000,0.52500,,,6190.00,1.16,1.17,2014-05-14,CoRoT-4 b,1074,,228.83000,13.340,2008,http://exoplanet.eu/catalog/corot-4_b/,http://exoplanets.org/detail/CoRoT-4_b,2008-09,,,
85,CoRoT-5,Transit,1,4.03789620,0.049470,0.090000,0.21700,,,6100.00,1.00,1.19,2014-05-14,CoRoT-5 b,1438,,148.42000,15.558,2009,http://exoplanet.eu/catalog/corot-5_b/,http://exoplanets.org/detail/CoRoT-5_b,2009-10,3.90,F9 V,
86,CoRoT-6,Transit,1,8.88659300,0.085500,0.100000,2.32000,,13.912,6090.00,1.05,1.02,2014-05-14,CoRoT-6 b,1017,,940.74000,13.068,2009,http://exoplanet.eu/catalog/corot-6_b/,http://exoplanets.org/detail/CoRoT-6_b,2010-03,3.90,F9 V,
87,CoRoT-7,Transit,2,0.85359159,0.017016,0.000000,7.50000,153.70,11.668,5259.00,0.91,0.82,2015-03-05,CoRoT-7 b,1756,,5.74000,1.585,2009,http://exoplanet.eu/catalog/corot-7_b/,http://exoplanets.org/detail/CoRoT-7_b,2009-10,4.90,G9 V,
88,CoRoT-7,Radial Velocity,2,3.69800000,0.046000,0.000000,,153.70,11.668,5259.00,0.91,0.82,2015-09-10,CoRoT-7 c,,,8.40000,,2009,http://exoplanet.eu/catalog/corot-7_c/,,2009-10,4.90,G9 V,
89,CoRoT-8,Transit,1,6.21229000,0.063000,0.000000,1.60000,380.00,14.800,5080.00,0.88,0.77,2014-05-14,CoRoT-8 b,,,69.92000,6.390,2010,http://exoplanet.eu/catalog/corot-8_b/,http://exoplanets.org/detail/CoRoT-8_b,2010-09,5.10,K1 V,
